index,x,y,z,unit_config_id,map_id,category,record_field3_int,record_field4_int
0,0.0,0.0,0.0,243001,16,5,705043140,1
1,-800.0,-0.2199999988079071,2600.0,231002,8,5,705043039,1
2,2500.0,-0.2199999988079071,-900.0,201001,1,5,705042738,1
3,900.0,-0.2199999988079071,2500.0,231001,8,5,705043038,1
4,2150.0,-0.2199999988079071,-2150.0,211003,2,5,705042841,1
5,800.0,-0.2199999988079071,-2600.0,211002,2,5,705042839,1
6,-900.0,-0.2199999988079071,1350.0,232001,8,5,705043040,1
7,-900.0,-0.2199999988079071,-2500.0,211001,2,5,705042838,1
8,900.0,-0.2199999988079071,-1350.0,212001,2,5,705042840,1
9,-2600.0,-0.2199999988079071,-800.0,221002,4,5,705042939,1
10,2600.0,-0.2199999988079071,800.0,201002,1,5,705042739,1
11,-2500.0,-0.2199999988079071,900.0,221001,4,5,705042938,1
12,1350.0,-0.2199999988079071,900.0,202001,1,5,705042740,1
13,-1350.0,-0.2199999988079071,-900.0,222001,4,5,705042940,1
14,-2150.0,-0.2199999988079071,2150.0,231003,8,5,705043041,1
15,-2150.0,-0.2199999988079071,-2150.0,221003,4,5,705042941,1
16,2150.0,-0.2199999988079071,2150.0,201003,1,5,705042741,1
